"Ft_minus_F0_ppm","F0_ppm","Ft_ppm","FL_ppm","t_days","alpha","mu_day","mu_day_sem","mu_sigma_ratio","mu_year","mu_year_sem","T_G_years","T_G_years_sem"
2.1,95,97.1,3700,14,0.66,6.39399859401894e-05,2.26827604457635e-05,2.81888027222593,0.0233380948681691,0.0082792075627037,29.7002469342658,10.5361860263803
2.2,95,97.2,3700,14,0.66,6.69861753100515e-05,2.29077835960892e-05,2.92416658421233,0.0244499539881688,0.00836134101257258,28.3496312874599,9.69494400234258
2.3,95,97.3,3700,14,0.66,7.00324945952533e-05,2.31409420019633e-05,3.02634588467971,0.0255618605272675,0.00844644383071659,27.116460471277,8.96013261687928
2.4,95,97.4,3700,14,0.66,7.30789438068292e-05,2.33819949093586e-05,3.12543664858893,0.0266738144894926,0.00853442814191589,25.9860538819069,8.31437549490536
2.5,95,97.5,3700,14,0.66,7.6125522955894e-05,2.36307033130242e-05,3.2214666634123,0.0277858158789013,0.00862520670925384,24.9460798121201,7.74370261081524
2.6,95,97.6,3700,14,0.66,7.91722320535246e-05,2.38868306462786e-05,3.31447202962688,0.0288978646995365,0.00871869318589168,23.9861037404284,7.23677965178923
2.7,95,97.7,3700,14,0.66,8.22190711107991e-05,2.415014339388e-05,3.4044961874485,0.0300099609554417,0.0088148023387662,23.0972370003786,6.78433334292814
2.8,95,97.8,3700,14,0.66,8.52660401388368e-05,2.44204116304121e-05,3.49158898012392,0.0311221046506754,0.00891345024510042,22.2718607350002,6.37871778774194
2.9,95,97.9,3700,14,0.66,8.83131391486791e-05,2.46974094873154e-05,3.57580576189728,0.0322342957892679,0.00901455446287013,21.5034069641665,6.01358362171133
3,95,98,3700,14,0.66,9.1360368151448e-05,2.49809155523021e-05,3.65720655674803,0.0333465343752785,0.00911803417659025,20.7861834384148,5.6836230373867
3.1,95,98.1,3700,14,0.66,9.44077271582274e-05,2.52707132052409e-05,3.73585527212774,0.034458820412753,0.00922381031991293,20.1152323920936,5.38437142952732
3.2,95,98.2,3700,14,0.66,9.74552161801025e-05,2.55665908949126e-05,3.81181897033815,0.0355711539057374,0.0093318056766431,19.4862157802574,5.11205173485161
3.3,95,98.3,3700,14,0.66,0.0001005028352282,2.5868342361161e-05,3.8851671987725,0.0366835348582929,0.00944194496182375,18.8953213815829,4.86345127889292
3.4,95,98.4,3700,14,0.66,0.000103550584313568,2.61757668070304e-05,3.95597137906025,0.0377959632744521,0.00955415488456609,18.339185471388,4.63582359783009
3.5,95,98.5,3700,14,0.66,0.000106598463447335,2.64886690254539e-05,4.02430425420398,0.0389084391582773,0.00966836419429066,17.8148287506539,4.42680961113804
3.6,95,98.6,3700,14,0.66,0.000109646472640593,2.68068594849217e-05,4.0902393919835,0.0400209625138165,0.00978450371199641,17.3196029535933,4.23437390670536
3.7,95,98.7,3700,14,0.66,0.000112694611904435,2.71301543784474e-05,4.15385074232976,0.0411335333451186,0.00990250634813329,16.8511461134229,4.05675291644485
3.8,95,98.8,3700,14,0.66,0.000115742881249992,2.74583756399236e-05,4.21521224590234,0.0422461516562472,0.0100223071085721,16.4073448914357,3.89241251312682
3.9,95,98.9,3700,14,0.66,0.000118791280688322,2.77913509317304e-05,4.27439749079249,0.0433588174512376,0.0101438430900816,15.9863027016241,3.74001312139554
4,95,99,3700,14,0.66,0.00012183981023056,2.81289136072552e-05,4.33147941409066,0.0444715307341546,0.0102670534666482,15.5863126165703,3.59838085940492
