"label_panel","FL_ppm","alpha_label","alpha","deltaH_permil","deltaH_ppm","generation_time_years","mu_day","detectable_fraction","incubation_time_days","TG_error_years"
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,13.3930080606297,0.000141792893933928,0.0207444694085038,147.839980464182,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,13.7054981298808,0.000138559967204463,0.0207444694085038,151.289431515372,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,14.0252793202108,0.000135400752315895,0.0207444694085038,154.819366293069,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,14.3525217504549,0.000132313568612911,0.0207444694085038,158.431662670054,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,14.6873995087168,0.000129296773759715,0.0207444694085038,162.12824233425,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,15.0300907449813,0.000126348762866333,0.0207444694085038,165.911071811036,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,15.3807777658872,0.000123467967634833,0.0207444694085038,169.78216350941,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,15.7396471317115,0.000120652855525016,0.0207444694085038,173.743576792556,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,16.1068897556172,0.000117901928939125,0.0207444694085038,177.797419073399,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,16.4827010052161,0.00011521372442515,0.0207444694085038,181.945846935713,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,16.8672808065011,0.000112586811898286,0.0207444694085038,186.191067281397,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,17.2608337502043,0.000110019793880155,0.0207444694085038,190.535338504509,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,17.663569200636,0.000107511304755368,0.0207444694085038,194.980971692701,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,18.0757014070635,0.000105060010045033,0.0207444694085038,199.530331856682,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,18.4974496176885,0.000102664605696838,0.0207444694085038,204.185839188368,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,18.9290381962836,0.000100323817391311,0.0207444694085038,208.94997034839,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,19.3706967415511,9.8036399863903e-05,0.0207444694085038,213.825259783639,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,19.8226602092656,9.58011362425239e-05,0.0207444694085038,218.814301075553,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,20.285169037267,9.36168374001861e-05,0.0207444694085038,223.919748319869,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,20.75846927337,9.14823413224059e-05,0.0207444694085038,229.144317538554,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,21.2428127062581,8.93965124890294e-05,0.0207444694085038,234.490788124696,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,21.7384569994308,8.73582412701526e-05,0.0207444694085038,239.962004321097,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,22.2456658282773,8.53664433358149e-05,0.0207444694085038,245.560876733364,NA
"1 at% ²H",10000,"0.76",0.76,1000,155.687242910821,22.7647090203479,8.34200590791513e-05,0.0207444694085038,251.290383878316,NA
