"","ID","ID_Fraction","Fraction","GDGT0_RelAbund","GDGT1_RelAbund","GDGT2_RelAbund","GDGT3_RelAbund","GDGT4_RelAbund","Cren_RelAbund","GDGT5_RelAbund","GDGT6_RelAbund","GDGT7_RelAbund","GDGT8_RelAbund","Total_GDGT_ng","Total_GDGT_ug","GDGT0_ug","GDGT1_ug","GDGT2_ug","GDGT3_ug","GDGT4_ug","Cren_ug","GDGT5_ug","GDGT6_ug","GDGT7_ug","GDGT8_ug","RI_GDGT","GDGT_ug_sediment_g"
"11","E01","E01_IPL","IPL",0.0712797307346049,0.105646916549895,0.253116431150201,0.246386236159184,0.302807875520894,0.000186138755953711,0.0170768531962692,0.00323411376325819,0.000259912276619257,5.79189312093461e-06,1922.34640831417,1.92234640831417,0.00137024334363269,0.00203089970579157,0.00486577462306889,0.00473639696138653,0.00582101631916835,3.57823168955684e-06,0.000328276274071565,6.2170869768788e-05,4.99641431435788e-06,1.11340249383682e-07,2.66966921407744,0.191613812080277
"12","E02","E02_IPL","IPL",0.0522727404890637,0.0962560218920566,0.232577092645145,0.258449271961703,0.346599847742677,0.000453702799641111,0.0117590799759762,0.00160445458341574,1.8234387121366e-05,9.55352320026427e-06,515.877530655627,0.515877530655627,0.000269663322841006,0.000496563188844081,0.00119981296240842,0.00133328172219348,0.00178803073579108,2.34055079930401e-06,6.06624514078862e-05,8.27702068541616e-06,9.40671060118905e-08,4.92844795761357e-08,2.79359842151256,0.0454213505190909
"13","E04","E04_IPL","IPL",0.0554585632109905,0.0878380261415277,0.249003062227553,0.283564771751894,0.307351808775273,8.12914940099407e-05,0.0146303631770952,0.00189658380329599,0.00017383214914262,1.69726921870946e-06,1373.21029538467,1.37321029538467,0.000761562699685736,0.00120620081823813,0.00341933568633185,0.00389394063978104,0.00422058668115305,1.11630316501652e-06,0.000200905653400039,2.60440840474586e-05,2.38708096871489e-06,2.33070756517132e-08,2.75203258883245,0.119373259910868
"14","E05","E05_IPL","IPL",0.0436044473804633,0.0745726273177287,0.240999485020355,0.273541815410013,0.34471820087441,0,0.0194469208587524,0.00297077844152618,0.000143449603376966,2.27509337477492e-06,1668.5605033334,1.6685605033334,0.000727566586687206,0.00124428940572163,0.00402122222028653,0.00456421069203264,0.00575183174759189,0,0.000324483640563647,4.95692357168494e-05,2.39354342413647e-06,3.79613094654492e-08,2.87215146999967,0.144144623460849
"15","E10","E10_IPL","IPL",0.0411017966442094,0.0841589486142544,0.229991329824879,0.305067669546935,0.337132644497096,7.26747686069413e-05,0.002235026386075,0.000172019959713005,3.1447677590561e-05,3.64420806407019e-05,365.97250472906,0.36597250472906,0.000150421274667458,0.00030799861219723,0.000841705030419784,0.00111646379135949,0.00123381278332534,2.65969670976872e-07,8.17958204647409e-06,6.29545755195603e-07,1.15089853357295e-07,1.33367995296161e-07,2.82088481604454,0.0318541652649543
"16","E11","E11_IPL","IPL",0.0533617108078308,0.0817260233771221,0.255521107339585,0.277368520890093,0.32141559062555,0,0.00884119490153363,0.00175173084704275,1.09141962358799e-05,3.20701500769932e-06,698.835315854938,0.698835315854938,0.000372910480269503,0.000571130313603191,0.00178567173755262,0.00193834917904445,0.00224616565795508,0,6.17853923154831e-05,1.22417137978596e-05,7.62722577380392e-08,2.24117534585708e-08,2.76535457831241,0.0620905470280084
"17","E13","E13_IPL","IPL",0.0682498351689207,0.101361859012938,0.228877548965101,0.273786252627223,0.313536323481625,0.000140500756156036,0.0121705668343397,0.00170940522079396,0.000159554828112521,8.15310479047063e-06,1263.81009835929,1.26381009835929,0.000862548308978391,0.00128102141009022,0.00289257757669818,0.00346013830862233,0.00396250371818523,1.77566274457115e-06,0.000153812852679952,2.1603635802275e-05,2.01647003010585e-06,1.03039761671783e-07,2.70747438590751,0.0951771735029779
"18","E14","E14_IPL","IPL",0.0520094118743885,0.0817635385194558,0.25215167307532,0.264632229078433,0.329277142157978,0.000113688468845159,0.0173690966583767,0.00258892710786931,8.62710499025254e-05,8.02200943190844e-06,1158.48493506925,1.15848493506925,0.000602521201382906,0.000947218276127435,0.00292113914610263,0.00306572450721158,0.00381462608652671,1.31706378448205e-06,0.000201218368144909,2.99923305245898e-05,9.99437116446828e-07,9.29337707584932e-08,2.80057401377656,0.0969646315186646
"19","E15","E15_IPL","IPL",0.0622197363791579,0.0962024198507386,0.263301573471804,0.272981476405967,0.282381719459997,0.000257699141964,0.0187228540323729,0.00372288389086358,0.000208133878460859,1.50348867432968e-06,1550.08222935507,1.55008222935507,0.000964457076764897,0.00149121661431585,0.00408139089999872,0.00423143735519999,0.00437714885229669,3.99454860478445e-06,0.000290219633183902,5.7707761611799e-05,3.22624626328925e-06,2.33053107611505e-08,2.68972820898576,0.116091897167139
"20","E16","E16_IPL","IPL",0.0548739026067045,0.0861716162809278,0.250455434852611,0.268388994256674,0.332999489747542,0,0.00660058849916916,0.000465120843246274,2.6197913177985e-05,1.86549999465748e-05,471.002353680248,0.471002353680248,0.000258457372833785,0.000405870340887481,0.0011796509930759,0.00126411847996768,0.00156843543445414,0,3.10889271878345e-05,2.19073011914737e-06,1.23392787683417e-07,8.78654888274162e-08,2.76037372069348,0.035214076115873
